package_id,package_type,shift,carrier,route_distance_km,packages_in_route,weather_risk,days_in_fc,double_scan,locker_issue,damaged_on_arrival,cr_number_missing
PackageID_6fb775f3-9c94-4ea3-8812-04ea793abea1,standard,afternoon,carrier_C,40.18,199,low,0,0,0,0,0
PackageID_21bbb349-9904-406f-a8fd-2b44110d1e9d,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_880ec0aa-86d3-46fe-ad4c-9d3da78ee9a3,high_value,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_9b894d4b-2f90-4d8b-a101-92444004cc64,high_value,afternoon,carrier_A,31.12,274,low,0,0,0,0,0
PackageID_3f8eea33-c551-4314-9201-b9ba8ca7848a,high_value,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_e062d7a5-2b5f-4361-ab3b-38903fa5beed,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_e62df269-f004-4c7f-9d61-892db29e7f09,high_value,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_bcb098a7-c704-4c71-80d3-222151762fa5,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_7f7a272d-d563-4918-9b1a-a5ea1da1eb66,high_value,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_2c2c0d0e-7ca9-4d5b-8416-3e567ee3c2f9,standard,afternoon,carrier_A,45.69,241,low,0,0,0,0,1
PackageID_7e3aa8a2-6636-4fed-8aa7-a9b9317a914d,high_value,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_d5f436cb-95ff-4e83-8f91-9710e19c7662,standard,afternoon,carrier_C,40.37,268,low,0,0,0,0,1
PackageID_0e8c7ba2-a8d3-4dbf-b514-27835579cd5a,standard,afternoon,carrier_A,45.69,241,low,0,0,0,0,1
PackageID_24f215ec-25ad-489d-9dc3-207c0177c2fe,high_value,afternoon,carrier_C,40.37,268,low,0,0,0,0,1
PackageID_b5bb188c-0bc4-4c34-8b85-186a9fe1156f,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_e054fe03-e441-42bf-8197-cab14db70acd,standard,afternoon,carrier_C,43.63,202,low,0,0,0,0,1
PackageID_27ee0b74-256a-415e-97b5-4cb7dc82a539,standard,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_3daa9e75-9a36-42ca-8cd8-d38978df2586,high_value,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_42af1d7f-ae7e-47ae-967e-15f662a9dcdb,standard,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_bf302238-2b0a-4f50-aff8-26f52fe8d888,high_value,morning,carrier_D,30.45,245,low,0,0,0,0,1
PackageID_caa5c39b-f567-4cac-b72a-be0ada476cda,standard,afternoon,carrier_D,58.07,268,low,0,0,0,0,1
PackageID_04eddc10-df51-4f25-a5d8-d3c0ee419a16,high_value,afternoon,carrier_C,40.37,268,low,0,0,0,0,1
PackageID_ceb519c0-4777-4e41-8cdb-58a27f5c6309,high_value,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_ce675135-0c26-4c1e-85c9-ff1dd280eba7,standard,afternoon,carrier_D,58.07,268,low,0,0,0,0,1
PackageID_765dd84a-6c54-4429-9f42-0f8048197b74,standard,afternoon,carrier_C,51.75,212,low,0,0,0,0,1
PackageID_2f65f035-197d-4458-bb77-77d424a36d2b,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_9c6de204-81c9-4a3b-9305-259bc9818a5d,standard,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_91e4e3dc-0f5d-4c31-8d2c-b57cc2621a3d,standard,afternoon,carrier_D,58.07,268,low,0,0,0,0,1
PackageID_23fb7ae2-a1ba-4401-a42d-878e804711f0,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_97a96191-049d-4b4d-8d19-967009ef887f,standard,afternoon,carrier_C,43.63,202,low,0,0,0,0,1
PackageID_f75dc085-211d-4ae4-a76b-3f083d3cbdc0,high_value,afternoon,carrier_C,40.18,199,low,0,0,0,0,1
PackageID_7ccc601e-9cb6-4532-a91c-64289058d477,standard,morning,carrier_D,30.45,245,low,0,0,0,0,1
PackageID_3c20ea9f-2f60-4bca-bf54-2de4807a1726,standard,morning,carrier_D,30.45,245,low,0,0,0,0,1
PackageID_17148bb1-9ef8-43c1-b39b-f83eeeb01417,standard,morning,carrier_D,30.45,245,low,0,0,0,0,0
PackageID_738625a6-ac8e-439e-bf00-be90d14fe048,high_value,afternoon,carrier_C,51.75,212,low,0,0,0,0,1
PackageID_49b70dcd-c88d-489f-b16c-46ad05329322,standard,afternoon,carrier_A,45.69,241,low,0,0,0,0,1
PackageID_5197b5f0-b28a-42e7-85cd-e5aea87524ff,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_2fa89c9a-c615-42d8-b4f9-42ec3cc315b2,high_value,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_1fbe820c-3bb7-469a-b59f-a0980d903141,standard,afternoon,carrier_D,58.07,268,low,0,0,0,0,1
PackageID_2b3d03d3-2423-4c3a-86de-91106c776bd5,high_value,afternoon,carrier_A,45.69,241,low,0,0,0,0,0
PackageID_c38d2bea-1177-45ed-adf0-923358f1c147,high_value,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_889b2a1b-880f-4635-826d-ec0b387278cb,standard,afternoon,carrier_C,40.18,199,low,0,0,0,0,1
PackageID_93bd706e-ad33-4e36-891c-a4678dda4801,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_91ae080d-5d1d-49ee-ba76-9c8f2fd4df12,standard,afternoon,carrier_A,25.93,211,low,0,0,0,0,0
PackageID_fccbcdf6-3962-4340-9ed3-61f25442618d,standard,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_f2e10d02-459f-4f7a-8da4-bb63ebb999f0,standard,morning,carrier_D,30.45,245,low,0,0,0,0,1
PackageID_28d85284-1e20-447b-9ed5-ea065c027f13,high_value,afternoon,carrier_A,33.57,276,low,0,0,0,0,0
PackageID_72679b8c-21f6-40c3-ad5d-72f127571f9b,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_18b25deb-c75c-47ec-a7e2-1c28ea93eaec,high_value,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_5766930e-7399-4345-9c07-aacbdf99b7dd,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_ec676c87-75b8-41de-aefb-55da72280e25,high_value,afternoon,carrier_D,58.07,268,low,0,0,0,0,0
PackageID_dee1512d-ff87-4f79-bb4f-0069f7ee8fd9,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_67b6b52f-1c33-4e2d-825d-44ca3f48b9ed,high_value,afternoon,carrier_A,45.69,241,low,0,0,0,0,1
PackageID_a236a3d0-d5b8-45cc-a36c-cbcad2397bd7,standard,afternoon,carrier_C,40.37,268,low,0,0,0,0,1
PackageID_a6128608-bad2-4f96-b919-cb1a04800e64,high_value,morning,carrier_D,30.45,245,low,0,0,0,0,0
PackageID_c9ca5186-b795-42fd-abd9-34d2f93ee3ad,standard,afternoon,carrier_D,58.07,268,low,0,0,0,0,1
PackageID_b0d1fb66-7c97-402f-a061-4cf0708585f1,high_value,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_104753f0-e308-4d79-bd69-e2f6a2c68a0f,standard,morning,carrier_D,30.45,245,low,0,0,0,0,1
PackageID_2d18c435-82ea-4eca-82fb-10df1098288d,standard,afternoon,carrier_D,58.07,268,low,0,0,0,0,0
PackageID_1e6a4a07-a23c-46f6-9277-8cb12eebc96f,high_value,afternoon,carrier_A,31.12,274,low,0,0,0,0,0
PackageID_7862c613-ed65-4189-a461-fa1e402cafb9,standard,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_3ebf08e1-4f50-4114-9924-55fedb58fe3a,high_value,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_804adddf-accf-4491-95e1-402b27c682c0,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_39c23514-56c1-4d15-a449-85fff43b84e9,high_value,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_8d974888-467a-42d6-9932-47d2d4baba2d,high_value,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_6277afec-c7f7-4e1c-b70f-34a1eb04861d,high_value,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_fca9e837-5108-4029-b680-82995c13b779,high_value,afternoon,carrier_C,51.75,212,low,0,0,0,0,1
PackageID_1763cc22-5c4d-49cb-a0b7-61c3cbcdc280,standard,afternoon,carrier_A,33.57,276,low,0,0,0,0,0
PackageID_4d1079aa-b9bd-49c1-b413-6a50404a54ef,standard,afternoon,carrier_C,40.37,268,low,0,0,0,0,1
PackageID_836b66ea-f795-4282-b103-062a170727ea,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,0
PackageID_87550c46-7b41-4a78-9890-5d41af574dc5,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_0bedacfd-6f9b-46f5-a372-e8876e2aaca5,standard,afternoon,carrier_D,58.07,268,low,0,0,0,0,1
PackageID_76fd82fe-a581-4596-ba74-8d9a1d533924,high_value,afternoon,carrier_C,51.75,212,low,0,0,0,0,1
PackageID_aa7529d1-c11b-4d7b-bcbb-de070c7be879,standard,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_6c2980ba-d11e-4f32-a47d-50089c4b7f09,standard,afternoon,carrier_C,51.75,212,low,0,0,0,0,1
PackageID_cc4623e6-6950-46ce-90d9-8f8478ba0422,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_bb2993bd-ae86-4443-844d-a7e5eb7794ec,standard,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_3dd2c67a-15dd-4ae5-9868-762b1c4f0238,high_value,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_e5f41d5a-1e35-47ff-b05e-f2c109f55e45,standard,afternoon,carrier_A,45.69,241,low,0,0,0,0,1
PackageID_0f173327-1c2b-4b0d-8971-dcaab05c1ac9,standard,afternoon,carrier_C,40.18,199,low,0,0,0,0,1
PackageID_4d2b3caa-a61d-4dc1-9b82-07d23776d4ef,standard,morning,carrier_D,30.45,245,low,0,0,0,0,1
PackageID_f07d0c5a-b961-4c41-a95b-a8edc03e900f,standard,afternoon,carrier_C,43.63,202,low,0,0,0,0,1
PackageID_04a1b405-acf4-4cba-b526-eddbabb43913,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_8f4ec61b-706e-40d9-a25d-d0b90dd4b257,high_value,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_538c20f2-757b-4732-b8f1-d9c7d6cc3ba5,standard,afternoon,carrier_C,43.63,202,low,0,0,0,0,1
PackageID_46d6f6f6-1d11-4e27-a463-914f5a034877,standard,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_695661af-5bdd-43c8-98c4-eaace791e975,high_value,afternoon,carrier_C,40.37,268,low,0,0,0,0,1
PackageID_58be559b-9553-4eea-9fc5-497c6a820846,high_value,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_f9a9fee6-543c-414c-a8af-0a19c60fd8c5,standard,afternoon,carrier_C,43.63,202,low,0,0,0,0,1
PackageID_9ac57e01-1b7a-4d88-b58c-72f65b8fe799,high_value,afternoon,carrier_A,25.93,211,low,0,0,0,0,0
PackageID_64348026-db58-49e6-ad96-c205a83405b4,standard,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_73e58e32-667b-408f-95cb-bee3100bc2b6,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_23e82ae6-494a-49ec-a317-e95a346787e3,high_value,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_1c09c0d3-3a16-46c0-bc21-01a9e262e7e2,standard,afternoon,carrier_C,43.63,202,low,0,0,0,0,1
PackageID_a7fe949f-ab84-4369-96c8-16721f6ce506,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_0a4e2dd4-6220-4fa8-8718-27c5437ec2d1,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_12363367-efae-477d-8235-1968a00cdb68,standard,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_9df74f64-2b61-4bab-b779-fc3f2f78c95f,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_f3d0010a-2bca-4016-9c15-42e0857dbe0f,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_fcd40fc3-fef4-495b-8760-5ea87ce48fe6,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,0
PackageID_5368cfed-6a54-451c-be9a-fabfb32fd54a,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_5dcc5414-0778-4488-875b-c0334ba4e794,high_value,afternoon,carrier_C,40.18,199,low,0,0,0,0,1
PackageID_db652cd6-ff62-462e-b90c-08074836a848,high_value,afternoon,carrier_D,58.07,268,low,0,0,0,0,1
PackageID_51d19f92-3a3f-458e-80ff-f801c46ccdeb,high_value,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_fd3cc3cf-20cc-460e-b3f3-f1a4d12a0606,high_value,afternoon,carrier_C,40.37,268,low,0,0,0,0,1
PackageID_746675b3-e96c-4678-ad30-93da10503787,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_61ee4cdf-9fe9-4878-a560-b7c9883d04c3,high_value,morning,carrier_B,70.17,216,low,0,0,0,0,1
PackageID_d60ba075-8878-4090-8b1a-862365eb236b,standard,afternoon,carrier_A,45.69,241,low,0,0,0,0,0
PackageID_65b85fa9-3020-4f9e-a069-72573886b726,standard,afternoon,carrier_C,43.63,202,low,0,0,0,0,1
PackageID_7ef1cf76-9967-4f4b-923a-aba58ab6aef5,standard,afternoon,carrier_D,58.07,268,low,0,0,0,0,1
PackageID_05bee39a-fd1c-468b-9770-2514dafd681d,high_value,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_df19778e-8437-4abe-91ca-2cb8195dee48,standard,afternoon,carrier_A,25.93,211,low,0,0,0,0,0
PackageID_525b6bca-d0ee-4523-a619-adfd050f9bca,high_value,morning,carrier_B,70.17,216,low,0,0,0,0,1
PackageID_ca6c2c54-f346-47af-a64b-4e329760d4ba,standard,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_8045969f-e23d-4807-b5a3-1bed22368ba9,standard,morning,carrier_D,30.45,245,low,0,0,0,0,1
PackageID_1413d62e-20f2-44ef-ba30-5e22bf3346cf,high_value,afternoon,carrier_C,51.75,212,low,0,0,0,0,1
PackageID_dcbc78bd-34b3-42e3-843a-158432ce4c65,standard,afternoon,carrier_A,25.93,211,low,0,0,0,0,1
PackageID_79fc9726-c70e-492b-b8f3-8fc9cfac9be3,high_value,morning,carrier_B,70.17,216,low,0,0,0,0,1
PackageID_a9b5adf2-b3a8-43bc-9a9b-e7f728516bcd,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_8daa7b55-cf56-411b-8422-0171088546db,standard,afternoon,carrier_C,51.75,212,low,0,0,0,0,1
PackageID_e8638180-559c-430c-9b63-ec52bb569445,high_value,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_08dea738-e8e4-46a6-94f7-6fb8da2b4270,high_value,afternoon,carrier_C,51.75,212,low,0,0,0,0,1
PackageID_bae88579-d911-4fbe-91dc-f83337c14cc5,standard,afternoon,carrier_A,25.93,211,low,0,0,0,0,1
PackageID_7594dcb0-3d63-4cb7-931c-550a83df0f0f,standard,afternoon,carrier_A,25.93,211,low,0,0,0,0,1
PackageID_26d6b9bc-2d40-4a13-a573-ded03f27bd75,high_value,morning,carrier_B,70.17,216,low,0,0,0,0,1
PackageID_f7069c2a-427c-41c4-8d9d-bb2af660887e,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_6506d998-3341-4414-ae39-a837731dbfc8,standard,afternoon,carrier_A,45.69,241,low,0,0,0,0,1
PackageID_5d94c6a1-b12e-4fbe-910e-c0751c11babd,standard,afternoon,carrier_C,51.75,212,low,0,0,0,0,1
PackageID_d7a8dd0c-5248-4578-8ebb-8c4deb0bca3d,high_value,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_c28efeba-5b6d-48b8-91b5-34d560254716,standard,afternoon,carrier_C,40.18,199,low,0,0,0,0,1
PackageID_5bfbb738-2a93-43bb-aedc-74e45ec54947,high_value,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_0fbbce5c-52e9-425f-8981-eef566679c3a,high_value,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_71b87890-6d01-425c-8662-6812b6008d34,standard,afternoon,carrier_A,25.93,211,low,0,0,0,0,1
PackageID_384b292f-c932-45ec-9f16-102fb684c3d5,high_value,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_5c11574a-d9fb-4742-8592-2d5214911c57,standard,afternoon,carrier_A,45.69,241,low,0,0,0,0,1
PackageID_a5a8b123-06d3-4a5c-9346-c5b1388fa69a,high_value,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_a7fa975f-23c8-4a13-bcfa-a896d726e5cb,standard,afternoon,carrier_A,45.69,241,low,0,0,0,0,0
PackageID_57ee9aea-5e28-4069-831b-1d8b5b3ef6f7,high_value,afternoon,carrier_D,58.07,268,low,0,0,0,0,1
PackageID_dbe07e19-1479-487e-82e6-0d398e751457,standard,morning,carrier_D,30.45,245,low,0,0,0,0,1
PackageID_5c0b1254-caf4-411e-83c1-33bb1c2ea1a1,standard,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_ae01ac82-de8b-4430-8ae8-f39dd36d7106,high_value,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_8c544a98-73bc-402b-b829-fe92889e7801,standard,afternoon,carrier_C,40.18,199,low,0,0,0,0,1
PackageID_d9c48fea-9ce6-4000-a317-feead384fd69,standard,afternoon,carrier_C,40.18,199,low,0,0,0,0,1
PackageID_9cc5e063-1a5f-4158-b052-fa49a03a1fa1,high_value,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_2e2da27e-bf40-4652-ab3d-ddc7e9f82e34,standard,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_035445bf-e673-45aa-bf6b-cd6192740041,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_99f8689b-b012-433f-bb5a-cdcf4d7dd3e3,high_value,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_f23840f4-b46b-4fe4-ae07-a00a9bab22f3,standard,morning,carrier_B,70.17,216,low,0,0,0,0,1
PackageID_15365541-1174-4e35-88c6-3d3c9a54ff30,high_value,afternoon,carrier_C,43.63,202,low,0,0,0,0,1
PackageID_7e558bf1-7279-4941-9f40-8a9a5e346194,high_value,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_702801f4-c3f2-4e11-b366-8092255c46af,high_value,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_7f415848-5995-4af6-8d8e-bc7de2da8c93,high_value,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_15143406-ff9a-49b3-acbb-83076270fea7,high_value,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_68a6efd7-35be-4ed6-8457-e5b912202e49,high_value,afternoon,carrier_C,43.63,202,low,0,0,0,0,1
PackageID_c4765948-2c64-4832-8494-73a5510d4557,standard,afternoon,carrier_A,25.93,211,low,0,0,0,0,0
PackageID_bed08c97-0957-4169-af9f-632d5915f7ac,standard,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_61229fe9-7f50-4d81-ac84-ef3041f2a6fb,standard,afternoon,carrier_C,51.75,212,low,0,0,0,0,1
PackageID_dc91a63f-a443-4245-9c19-4611a2b017a3,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_43e08d32-f26c-4de7-8224-469fb575160f,standard,afternoon,carrier_C,40.37,268,low,0,0,0,0,1
PackageID_320149dc-8e39-42df-af9e-bee9ba225d0e,high_value,morning,carrier_D,30.45,245,low,0,0,0,0,1
PackageID_c9a43225-9666-47ff-a926-8934938671f5,high_value,afternoon,carrier_A,45.69,241,low,0,0,0,0,1
PackageID_1b865819-fba6-45e6-b871-1a2c16216557,standard,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_1187dfc9-897b-45a2-9d46-142fcd477de5,standard,morning,carrier_B,80.6,196,low,0,0,0,0,1
PackageID_784b1ff2-bb51-4ef1-ae5b-6fb95da991de,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_03f77ad9-5159-4a6f-b0b5-5f071b09a523,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_f1a3f530-5dc4-4103-95de-3e4c07c2e26f,standard,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_18f7a30a-f72d-4d99-9759-825719521ac0,standard,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_7679e0db-ab7c-4d18-b370-cf2cae123434,high_value,afternoon,carrier_D,58.07,268,low,0,0,0,0,1
PackageID_3bae11ce-54c9-4aa1-bbb6-4991a658a4b4,standard,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_b6b0fe36-66fa-4f65-9909-6d260d74f798,high_value,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_7864882a-3c5f-4c63-9679-3bf534b8b36f,standard,afternoon,carrier_A,25.93,211,low,0,0,0,0,0
PackageID_1bcc8776-e936-4ea2-a5fb-2e4aebf7ec39,standard,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_9102f11c-fbc1-4123-b58a-15ca60ac1172,standard,afternoon,carrier_D,58.07,268,low,0,0,0,0,1
PackageID_b9fab53d-787b-40c9-8409-333da3bf5e82,high_value,morning,carrier_D,30.45,245,low,0,0,0,1,0
PackageID_1e65bd3b-60e1-447e-8ae9-f48901460bb1,high_value,afternoon,carrier_C,40.37,268,low,0,0,0,0,1
PackageID_58595bae-e090-484c-aea2-0b9b39882df9,standard,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_38493855-1603-4c46-88f8-6726734cc3c8,high_value,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_66dbf19a-084e-4200-b853-7009c7a8bd82,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,0
PackageID_8a1fc60e-4bad-4de0-aa1d-fe56b6d00cff,high_value,afternoon,carrier_D,58.07,268,low,0,0,0,0,1
PackageID_68ac6ef0-13ae-41bb-8375-a4d69b67274d,standard,afternoon,carrier_D,52.43,276,low,0,0,0,0,1
PackageID_a447e112-46b6-45c5-9f9d-65cee075c484,standard,afternoon,carrier_A,45.69,241,low,0,0,0,0,1
PackageID_b1d67a91-26b2-4404-839d-169ef2e57bb2,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_b46a78c5-7d40-4be0-8e1a-ecabbae39fa1,high_value,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_bef759fe-4b51-4767-8bb8-deb3d33bee95,high_value,afternoon,carrier_C,51.75,212,low,0,0,0,0,1
PackageID_07869efc-108d-4a08-b9f4-e42e61820349,standard,afternoon,carrier_A,25.93,211,low,0,0,0,0,1
PackageID_88848008-fd6e-4a7d-80a8-b54242a33d9d,high_value,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_9bfb11a6-ef3f-4533-a446-2bb7dc10c4c3,standard,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_d0166e40-1a79-4f07-a758-bbb7a6b2f11e,standard,afternoon,carrier_A,56.5,256,low,0,0,0,0,1
PackageID_1f9f73ae-696e-454c-a739-d3ba84225910,standard,afternoon,carrier_A,48.5,219,low,0,0,0,0,1
PackageID_7c7c6d87-aead-4af1-8d5d-c64a7751bc8c,standard,afternoon,carrier_A,25.93,211,low,0,0,0,0,1
PackageID_ba4c08bb-dc88-4753-b6d7-e4a5cd6f011b,standard,afternoon,carrier_C,51.75,212,low,0,0,0,0,1
PackageID_62bd35ae-6fe9-40c0-8c58-0d1021a796db,high_value,afternoon,carrier_C,40.18,199,low,0,0,0,0,1
PackageID_d6b81236-1a5d-47b2-9bd4-f68afab79ef9,standard,afternoon,carrier_A,33.57,276,low,0,0,0,0,1
PackageID_eecc1208-8017-4dc0-a294-fc3c2712d9ff,standard,afternoon,carrier_A,31.12,274,low,0,0,0,0,1
PackageID_0550bdf6-284e-4f39-a064-62cdc2916518,standard,afternoon,carrier_A,25.93,211,low,0,0,0,0,1
PackageID_8be23ff9-6f84-42b3-af47-97148fcaf281,standard,morning,carrier_D,30.45,245,low,0,0,0,0,1
